AL182026,              SALLY,    32,
20260810, 1200,  , LO, 15.3N, 75.0W, 25, 1007
20260810, 1800,  , LO, 15.4N, 75.8W, 30, 1005
20260811, 0000,  , LO, 15.5N, 76.7W, 30, 1002
20260811, 0600,  , TD, 16.0N, 77.6W, 30, 1000
20260811, 1200,  , TS, 17.0N, 78.0W, 40, 992
20260811, 1800,  , TS, 18.0N, 78.1W, 55, 985
20260812, 0000,  , HU, 19.3N, 78.0W, 65, 974
20260812, 0600, L, HU, 20.6N, 77.8W, 80, 968
20260812, 1200,  , HU, 22.1N, 77.2W, 90, 953
20260812, 1800,  , HU, 23.1N, 77.1W, 105, 941
20260813, 0000,  , HU, 23.6N, 77.3W, 120, 926
20260813, 0600, L, HU, 24.0N, 77.6W, 140, 914
20260813, 1200,  , HU, 24.2N, 77.8W, 145, 909
20260813, 1800,  , HU, 24.7N, 78.4W, 150, 905
20260814, 0000,  , HU, 24.9N, 78.9W, 165, 895
20260814, 0600,  , HU, 25.2N, 79.4W, 175, 885
20260814, 1200, L, HU, 25.6N, 80.1W, 190, 864
20260814, 1800,  , HU, 25.8N, 80.8W, 105, 945
20260815, 0000,  , HU, 26.0N, 81.8W, 90, 957
20260815, 0600,  , HU, 26.1N, 82.9W, 90, 955
20260815, 1200,  , HU, 26.4N, 84.1W, 105, 944
20260815, 1800,  , HU, 26.8N, 84.9W, 105, 940
20260816, 0000,  , HU, 27.3N, 85.6W, 110, 938
20260816, 0600,  , HU, 28.0N, 86.2W, 115, 933
20260816, 1200,  , HU, 28.6N, 86.5W, 105, 942
20260816, 1800,  , HU, 29.4N, 86.9W, 90, 965
20260817, 0000, L, HU, 30.3N, 87.3W, 85, 972
20260817, 0600,  , TS, 31.1N, 87.4W, 55, 986
20260817, 1200,  , SD, 32.1N, 87.6W, 30, 999
20260817, 1800,  , EX, 33.5N, 88.0W, 25, 1003
20260818, 0000,  , EX, 35.3N, 88.4W, 20, 1006
20260818, 0600,  , EX, 38.6N, 90.2W, 15, 1009
